問題番号,問題タイトル,問い[順序一致.]{順不同.},問い画像ファイル名(単一のみ可、無ければ0),回答[順序一致.]{順不同.},解答画像ファイル名(単一のみ可、無ければ0),解説(無ければ0)
1,電流の種類,？？電流(DC:direct current),direct_current_graph.png,直流,0,0
2,電流の種類,？？電流(AC:alternate current),alternate_current_graph.png,交流,0,0
3,周期と周波数,？？:交流電流において、電圧の波が1回上下する時間,0,周期,0,0
4,周期と周波数,？？:交流電流において、1秒あたりに起きる振動回数,0,周波数,0,0
5,回路図の種類,アナログ回路:？？に変化する電気信号を取り扱う回路,0,連続的,0,0
6,回路図の種類,デジタル回路:？？に変化するデジタル信号を取り扱う回路,0,離散的,0,0
7,電子回路を構成する要素,[部品名称.単位.単位の呼び方.回路記号],resistor_diagram.png,[抵抗.Ω.オーム.R],0,0
8,抵抗の種類,複数の抵抗を一つのパッケージにまとめたもの,resistor_array.jpg,{抵抗アレイ.集合抵抗},0,0
9,抵抗の種類,抵抗アレイの別名称,resistor_array.jpg,集合抵抗,0,0
10,抵抗の種類,抵抗値を変えることができる抵抗,variable_resistor.jpg,可変抵抗器,0,0
11,抵抗の種類,電圧や電流の微調整のために使われる可変抵抗器,semi_variable_resistor.jpg,半固定抵抗器,0,0
12,電子回路を構成する要素,[部品名称.単位.単位の呼び方.回路記号],capacitors.jpg,[コンデンサ.F.ファラド.C],0,0
13,コンデンサの種類,？？コンデンサ,cca.jpg,セラミック,0,0
14,コンデンサの種類,？？コンデンサ,film_capacitor.png,フィルム,0,0
15,コンデンサの種類,？？コンデンサ,denkai_capacitor.jpg,電解,0,0
16,コンデンサの種類,？？コンデンサ,semi_capacitor.jpg,可変,0,0
17,電子回路を構成する要素,[部品名称.単位.単位の呼び方.回路記号],inductor.png,[コイル.H.ヘンリー.L],0,0
18,電子回路を構成する要素,[部品名称.回路記号],diode.png,[ダイオード.D],0,0
19,ダイオード,[1.2],diode_a.png,[アノード.カソード],0,0
20,部品の分類と種類,電流の増幅や電気エネルギーの変換といった、能動的な機能を持たない素子,0,受動部品,0,0
21,部品の分類と種類,入力と出力を持ち、電気を加えることで入力と出力に一定の関係を持つ素子,0,能動部品,0,0
22,部品の分類と種類,素子を接続したり固定したりするための部品,0,機構部品,0,0
23,部品の分類と種類,[1部品1素子.1部品複合素子],0,[ディスクリート.モジュール],0,0
24,実装形態,電子部品につながるリード端子を基板の孔に通してはんだ付けする工法,sounyuu.jpg,{挿入実装型.リード型},0,0
25,実装形態,基板の表面に設けられたパッド(ランド)に電子部品の電極をはんだ付けする工法,hyoumenjisso.jpg,{表面実装型.SMT型},0,0
26,実装形態,基板内に部品を埋め込む工法,0,埋め込み型,0,0
27,実装形態,挿入実装型の別名,0,リード型,0,0
28,実装形態,表面実装型の別名,0,SMT型,0,0
29,2ピン部品の形状による分類,部品同軸方向にリードが伸びた電子部品,akisharu.png,アキシャル,0,0
30,2ピン部品の形状による分類,部品同一方向に平行したリードが伸びた電子部品,rajiaru.png,ラジアル,0,0
31,IC部品の種類,{挿入実装のIC部品名を4つ. . . },0,{DIP.SIP.ZIP.PGA},0,0
32,IC部品の種類,{表面実装のIC部品名を4つ. . . },0,{SOP.LCC.QFP.BGA},0,0
33,ネットリスト,当てはまる用語,net.png,ネット名,0,0
34,ネットリスト,当てはまる用語,ref.png,{リファレンス.回路番号},0,0
35,ネットリスト,当てはまる用語,part.png,パート名,0,0
36,ネットリスト,当てはまる用語,pinum.png,ピン番号,0,0
37,ネットリスト,当てはまる用語,piname.png,ピン名,0,0
